Mareografo,Fecha,Nivel
Oyarvide,2025-04-04 15:45:00-03:00,1.39
Oyarvide,2025-04-04 16:45:00-03:00,1.46
Oyarvide,2025-04-04 17:45:00-03:00,1.55
Oyarvide,2025-04-04 18:45:00-03:00,1.57
Oyarvide,2025-04-04 19:45:00-03:00,1.55
Oyarvide,2025-04-04 20:45:00-03:00,1.49
Oyarvide,2025-04-04 21:45:00-03:00,1.36
Oyarvide,2025-04-04 22:45:00-03:00,1.19
Oyarvide,2025-04-04 23:45:00-03:00,1.02
Oyarvide,2025-04-05 00:45:00-03:00,0.91
Oyarvide,2025-04-05 01:45:00-03:00,0.86
Oyarvide,2025-04-05 02:45:00-03:00,0.96
Oyarvide,2025-04-05 03:45:00-03:00,1.1
Oyarvide,2025-04-05 04:45:00-03:00,1.5
Oyarvide,2025-04-05 05:45:00-03:00,1.69
Oyarvide,2025-04-05 06:45:00-03:00,1.71
Oyarvide,2025-04-05 07:45:00-03:00,1.65
Oyarvide,2025-04-05 08:45:00-03:00,1.58
Oyarvide,2025-04-05 09:45:00-03:00,1.37
Oyarvide,2025-04-05 10:45:00-03:00,1.1
Oyarvide,2025-04-05 11:45:00-03:00,0.86
Oyarvide,2025-04-05 12:45:00-03:00,0.69
Oyarvide,2025-04-05 13:45:00-03:00,0.53
Oyarvide,2025-04-05 14:45:00-03:00,0.37
Oyarvide,2025-04-05 15:45:00-03:00,0.32
Oyarvide,2025-04-05 16:45:00-03:00,0.32
Oyarvide,2025-04-05 17:45:00-03:00,0.49
Oyarvide,2025-04-05 18:45:00-03:00,0.69
Oyarvide,2025-04-05 19:45:00-03:00,0.73
Oyarvide,2025-04-05 20:45:00-03:00,0.75
Oyarvide,2025-04-05 21:45:00-03:00,0.75
Oyarvide,2025-04-05 22:45:00-03:00,0.79
Oyarvide,2025-04-05 23:45:00-03:00,0.64
Oyarvide,2025-04-06 00:45:00-03:00,0.59
Oyarvide,2025-04-06 01:45:00-03:00,0.44
Oyarvide,2025-04-06 02:45:00-03:00,0.32
Oyarvide,2025-04-06 03:45:00-03:00,0.18
Oyarvide,2025-04-06 04:45:00-03:00,0.35
Oyarvide,2025-04-06 05:45:00-03:00,0.65
Oyarvide,2025-04-06 06:45:00-03:00,0.91
Oyarvide,2025-04-06 07:45:00-03:00,0.91
Oyarvide,2025-04-06 08:45:00-03:00,1.06
Oyarvide,2025-04-06 09:45:00-03:00,1.03
Oyarvide,2025-04-06 10:45:00-03:00,0.97
Oyarvide,2025-04-06 11:45:00-03:00,0.88
Oyarvide,2025-04-06 12:45:00-03:00,0.74
Oyarvide,2025-04-06 13:45:00-03:00,0.53
Oyarvide,2025-04-06 14:45:00-03:00,0.37
Oyarvide,2025-04-06 15:45:00-03:00,0.28
Oyarvide,2025-04-06 16:45:00-03:00,0.28
Oyarvide,2025-04-06 17:45:00-03:00,0.41
Oyarvide,2025-04-06 18:45:00-03:00,0.67
Oyarvide,2025-04-06 19:45:00-03:00,0.93
Oyarvide,2025-04-06 20:45:00-03:00,1.02
Oyarvide,2025-04-06 21:45:00-03:00,1.1
Oyarvide,2025-04-06 22:45:00-03:00,1.12
Oyarvide,2025-04-06 23:45:00-03:00,1.11
Oyarvide,2025-04-07 00:45:00-03:00,1.03
Oyarvide,2025-04-07 01:45:00-03:00,0.82
Oyarvide,2025-04-07 02:45:00-03:00,0.71
Oyarvide,2025-04-07 03:45:00-03:00,0.59
Oyarvide,2025-04-07 04:45:00-03:00,0.56
Oyarvide,2025-04-07 05:45:00-03:00,0.6
Oyarvide,2025-04-07 06:45:00-03:00,0.74
Oyarvide,2025-04-07 07:45:00-03:00,0.94
Oyarvide,2025-04-07 08:45:00-03:00,1.16
Oyarvide,2025-04-07 09:45:00-03:00,1.25
Oyarvide,2025-04-07 10:45:00-03:00,1.27
Oyarvide,2025-04-07 11:45:00-03:00,1.22
Oyarvide,2025-04-07 12:45:00-03:00,1.09
Oyarvide,2025-04-07 13:45:00-03:00,0.95
Oyarvide,2025-04-07 14:45:00-03:00,0.82
Oyarvide,2025-04-07 15:45:00-03:00,0.67
Oyarvide,2025-04-07 16:45:00-03:00,0.58
Oyarvide,2025-04-07 17:45:00-03:00,0.49
Oyarvide,2025-04-07 18:45:00-03:00,0.53
Oyarvide,2025-04-07 19:45:00-03:00,0.67
Oyarvide,2025-04-07 20:45:00-03:00,0.88
Oyarvide,2025-04-07 21:45:00-03:00,0.96
Oyarvide,2025-04-07 22:45:00-03:00,1
Oyarvide,2025-04-07 23:45:00-03:00,0.97
Oyarvide,2025-04-08 00:45:00-03:00,0.96
Oyarvide,2025-04-08 01:45:00-03:00,0.9
Oyarvide,2025-04-08 02:45:00-03:00,0.76
Oyarvide,2025-04-08 03:45:00-03:00,0.68
Oyarvide,2025-04-08 04:45:00-03:00,0.53
Oyarvide,2025-04-08 05:45:00-03:00,0.52
Oyarvide,2025-04-08 06:45:00-03:00,0.62
Oyarvide,2025-04-08 07:45:00-03:00,0.86
Oyarvide,2025-04-08 08:45:00-03:00,1.09
Oyarvide,2025-04-08 09:45:00-03:00,1.27
Oyarvide,2025-04-08 10:45:00-03:00,1.47
Oyarvide,2025-04-08 11:45:00-03:00,1.61
Oyarvide,2025-04-08 12:45:00-03:00,1.67
Oyarvide,2025-04-08 13:45:00-03:00,1.64
Oyarvide,2025-04-08 14:45:00-03:00,1.54
Oyarvide,2025-04-08 15:45:00-03:00,1.4
Oyarvide,2025-04-08 16:45:00-03:00,1.22
Oyarvide,2025-04-08 17:45:00-03:00,1.12
Oyarvide,2025-04-08 18:45:00-03:00,1.01
Oyarvide,2025-04-08 19:45:00-03:00,0.94
Oyarvide,2025-04-08 20:45:00-03:00,1
Oyarvide,2025-04-08 21:45:00-03:00,1.14
Oyarvide,2025-04-08 22:45:00-03:00,1.2
Oyarvide,2025-04-08 23:45:00-03:00,1.25
Oyarvide,2025-04-09 00:45:00-03:00,1.26
Oyarvide,2025-04-09 01:45:00-03:00,1.19
Oyarvide,2025-04-09 02:45:00-03:00,1.1
Oyarvide,2025-04-09 03:45:00-03:00,1.03
Oyarvide,2025-04-09 04:45:00-03:00,0.87
Oyarvide,2025-04-09 05:45:00-03:00,0.79
Oyarvide,2025-04-09 06:45:00-03:00,0.74
Oyarvide,2025-04-09 07:45:00-03:00,0.77
Oyarvide,2025-04-09 08:45:00-03:00,0.99
Oyarvide,2025-04-09 09:45:00-03:00,1.2
Oyarvide,2025-04-09 10:45:00-03:00,1.4
Oyarvide,2025-04-09 11:45:00-03:00,1.49
Oyarvide,2025-04-09 12:45:00-03:00,1.57
Oyarvide,2025-04-09 13:45:00-03:00,1.52
Oyarvide,2025-04-09 14:45:00-03:00,1.4
Oyarvide,2025-04-09 15:45:00-03:00,1.22
Oyarvide,2025-04-09 16:45:00-03:00,1.04
Oyarvide,2025-04-09 17:45:00-03:00,0.93
Oyarvide,2025-04-09 18:45:00-03:00,0.8
Oyarvide,2025-04-09 19:45:00-03:00,0.72
Oyarvide,2025-04-09 20:45:00-03:00,0.64
Oyarvide,2025-04-09 21:45:00-03:00,0.66
Oyarvide,2025-04-09 22:45:00-03:00,0.69
Oyarvide,2025-04-09 23:45:00-03:00,0.75
Oyarvide,2025-04-10 00:45:00-03:00,0.81
Oyarvide,2025-04-10 01:45:00-03:00,0.8
Oyarvide,2025-04-10 02:45:00-03:00,0.74
Oyarvide,2025-04-10 03:45:00-03:00,0.67
Oyarvide,2025-04-10 04:45:00-03:00,0.56
Oyarvide,2025-04-10 05:45:00-03:00,0.48
Oyarvide,2025-04-10 06:45:00-03:00,0.36
Oyarvide,2025-04-10 07:45:00-03:00,0.23
Oyarvide,2025-04-10 08:45:00-03:00,0.19
Oyarvide,2025-04-10 09:45:00-03:00,0.3
Oyarvide,2025-04-10 10:45:00-03:00,0.46
Oyarvide,2025-04-10 11:45:00-03:00,0.65
Oyarvide,2025-04-10 12:45:00-03:00,0.78
Oyarvide,2025-04-10 13:45:00-03:00,0.71
Oyarvide,2025-04-10 14:45:00-03:00,0.82
Oyarvide,2025-04-10 15:45:00-03:00,0.85
Oyarvide,2025-04-10 16:45:00-03:00,0.75
Oyarvide,2025-04-10 17:45:00-03:00,0.78
Oyarvide,2025-04-10 18:45:00-03:00,0.58
Oyarvide,2025-04-10 19:45:00-03:00,0.41
Oyarvide,2025-04-10 20:45:00-03:00,0.31
Oyarvide,2025-04-10 21:45:00-03:00,0.28
Oyarvide,2025-04-10 22:45:00-03:00,0.38
Oyarvide,2025-04-10 23:45:00-03:00,0.53
Oyarvide,2025-04-11 00:45:00-03:00,0.65
Oyarvide,2025-04-11 01:45:00-03:00,0.73
Oyarvide,2025-04-11 02:45:00-03:00,0.79
Oyarvide,2025-04-11 03:45:00-03:00,0.8
Oyarvide,2025-04-11 04:45:00-03:00,0.78
Oyarvide,2025-04-11 05:45:00-03:00,0.7
Oyarvide,2025-04-11 06:45:00-03:00,0.57
Oyarvide,2025-04-11 07:45:00-03:00,0.46
Oyarvide,2025-04-11 08:45:00-03:00,0.38
Oyarvide,2025-04-11 09:45:00-03:00,0.54
Oyarvide,2025-04-11 10:45:00-03:00,0.63
Oyarvide,2025-04-11 11:45:00-03:00,0.84
Oyarvide,2025-04-11 12:45:00-03:00,0.99
Oyarvide,2025-04-11 13:45:00-03:00,1.16
Oyarvide,2025-04-11 14:45:00-03:00,1.16
Oyarvide,2025-04-11 15:45:00-03:00,1.3
Oyarvide,2025-04-11 16:45:00-03:00,1.28
Oyarvide,2025-04-11 17:45:00-03:00,1.15
Oyarvide,2025-04-11 18:45:00-03:00,0.99
Oyarvide,2025-04-11 19:45:00-03:00,0.79
Oyarvide,2025-04-11 20:45:00-03:00,0.6
Oyarvide,2025-04-11 21:45:00-03:00,0.58
Oyarvide,2025-04-11 22:45:00-03:00,0.6
Oyarvide,2025-04-11 23:45:00-03:00,0.64
Oyarvide,2025-04-12 00:45:00-03:00,0.71
Oyarvide,2025-04-12 01:45:00-03:00,0.18
Oyarvide,2025-04-12 02:45:00-03:00,0.74
Oyarvide,2025-04-12 03:45:00-03:00,0.69
Oyarvide,2025-04-12 04:45:00-03:00,0.6
Oyarvide,2025-04-12 05:45:00-03:00,0.44
Oyarvide,2025-04-12 06:45:00-03:00,0.3
Oyarvide,2025-04-12 07:45:00-03:00,0.15
Oyarvide,2025-04-12 08:45:00-03:00,0.05
Oyarvide,2025-04-12 09:45:00-03:00,0.02
Oyarvide,2025-04-12 10:45:00-03:00,0.15
Oyarvide,2025-04-12 11:45:00-03:00,0.38
Oyarvide,2025-04-12 12:45:00-03:00,0.58
Oyarvide,2025-04-12 13:45:00-03:00,0.75
Oyarvide,2025-04-12 14:45:00-03:00,0.79
Oyarvide,2025-04-12 15:45:00-03:00,0.85
Oyarvide,2025-04-12 16:45:00-03:00,0.9
Oyarvide,2025-04-12 17:45:00-03:00,0.87
Oyarvide,2025-04-12 18:45:00-03:00,0.83
Oyarvide,2025-04-12 19:45:00-03:00,0.69
Oyarvide,2025-04-12 20:45:00-03:00,0.61
Oyarvide,2025-04-12 21:45:00-03:00,0.63
Oyarvide,2025-04-12 22:45:00-03:00,0.73
Oyarvide,2025-04-12 23:45:00-03:00,0.97
Oyarvide,2025-04-13 00:45:00-03:00,1.21
Oyarvide,2025-04-13 01:45:00-03:00,1.4
Oyarvide,2025-04-13 02:45:00-03:00,1.31
Oyarvide,2025-04-13 03:45:00-03:00,1.35
Oyarvide,2025-04-13 04:45:00-03:00,1.29
Oyarvide,2025-04-13 05:45:00-03:00,1.31
Oyarvide,2025-04-13 06:45:00-03:00,1.21
Oyarvide,2025-04-13 07:45:00-03:00,1.08
Oyarvide,2025-04-13 08:45:00-03:00,1.1
Oyarvide,2025-04-13 09:45:00-03:00,1.07
Oyarvide,2025-04-13 10:45:00-03:00,1.15
Oyarvide,2025-04-13 11:45:00-03:00,1.32
Oyarvide,2025-04-13 12:45:00-03:00,1.49
Oyarvide,2025-04-13 13:45:00-03:00,1.61
Oyarvide,2025-04-13 14:45:00-03:00,1.65
Oyarvide,2025-04-13 15:45:00-03:00,1.75
Oyarvide,2025-04-13 16:45:00-03:00,1.72
Oyarvide,2025-04-13 17:45:00-03:00,1.63
Oyarvide,2025-04-13 18:45:00-03:00,1.66
Oyarvide,2025-04-13 19:45:00-03:00,1.51
Oyarvide,2025-04-13 20:45:00-03:00,1.37
Oyarvide,2025-04-13 21:45:00-03:00,1.31
Oyarvide,2025-04-13 22:45:00-03:00,1.41
Oyarvide,2025-04-13 23:45:00-03:00,1.62
Oyarvide,2025-04-14 00:45:00-03:00,1.88
Oyarvide,2025-04-14 01:45:00-03:00,2.06
Oyarvide,2025-04-14 02:45:00-03:00,2.16
Oyarvide,2025-04-14 03:45:00-03:00,2.12
Oyarvide,2025-04-14 04:45:00-03:00,2.06
Oyarvide,2025-04-14 05:45:00-03:00,1.96
Oyarvide,2025-04-14 06:45:00-03:00,1.77
Oyarvide,2025-04-14 07:45:00-03:00,1.57
Oyarvide,2025-04-14 08:45:00-03:00,1.41
Oyarvide,2025-04-14 09:45:00-03:00,1.26
Oyarvide,2025-04-14 10:45:00-03:00,1.13
Oyarvide,2025-04-14 11:45:00-03:00,1.12
Oyarvide,2025-04-14 12:45:00-03:00,1.3
Oyarvide,2025-04-14 13:45:00-03:00,1.44
Oyarvide,2025-04-14 14:45:00-03:00,1.35
Oyarvide,2025-04-14 15:45:00-03:00,1.54
Oyarvide,2025-04-14 16:45:00-03:00,1.48
Oyarvide,2025-04-14 17:45:00-03:00,1.45
Oyarvide,2025-04-14 18:45:00-03:00,1.37
Oyarvide,2025-04-14 19:45:00-03:00,1.24
Oyarvide,2025-04-14 20:45:00-03:00,1.07
Oyarvide,2025-04-14 21:45:00-03:00,0.98
Oyarvide,2025-04-14 22:45:00-03:00,0.88
Oyarvide,2025-04-14 23:45:00-03:00,0.86
Oyarvide,2025-04-15 00:45:00-03:00,0.96
Oyarvide,2025-04-15 01:45:00-03:00,1.2
Oyarvide,2025-04-15 02:45:00-03:00,1.41
Oyarvide,2025-04-15 03:45:00-03:00,1.45
Oyarvide,2025-04-15 04:45:00-03:00,1.4
Oyarvide,2025-04-15 09:45:00-03:00,0.86
Oyarvide,2025-04-15 10:45:00-03:00,0.78
Oyarvide,2025-04-15 11:45:00-03:00,0.77
Oyarvide,2025-04-15 12:45:00-03:00,0.87
Oyarvide,2025-04-15 13:45:00-03:00,1.08
Oyarvide,2025-04-15 14:45:00-03:00,1.25
Oyarvide,2025-04-15 15:45:00-03:00,1.34
Oyarvide,2025-04-15 16:45:00-03:00,1.41
Oyarvide,2025-04-15 17:45:00-03:00,1.44
Oyarvide,2025-04-15 18:45:00-03:00,1.42
Oyarvide,2025-04-15 19:45:00-03:00,1.33
Oyarvide,2025-04-15 20:45:00-03:00,1.17
Oyarvide,2025-04-15 21:45:00-03:00,1.03
Oyarvide,2025-04-15 22:45:00-03:00,0.93
Oyarvide,2025-04-15 23:45:00-03:00,0.85
Oyarvide,2025-04-16 00:45:00-03:00,0.87
Oyarvide,2025-04-16 01:45:00-03:00,1.05
Oyarvide,2025-04-16 02:45:00-03:00,1.2
Oyarvide,2025-04-16 03:45:00-03:00,1.35
Oyarvide,2025-04-16 04:45:00-03:00,1.27
Oyarvide,2025-04-16 05:45:00-03:00,1.2
Oyarvide,2025-04-16 06:45:00-03:00,1.16
Oyarvide,2025-04-16 07:45:00-03:00,1.07
Oyarvide,2025-04-16 08:45:00-03:00,0.76
Oyarvide,2025-04-16 09:45:00-03:00,0.62
Oyarvide,2025-04-16 10:45:00-03:00,0.53
Oyarvide,2025-04-16 11:45:00-03:00,0.53
Oyarvide,2025-04-16 12:45:00-03:00,0.63
Oyarvide,2025-04-16 13:45:00-03:00,0.88
Oyarvide,2025-04-16 14:45:00-03:00,1.09
Oyarvide,2025-04-16 15:45:00-03:00,1.23
Oyarvide,2025-04-16 16:45:00-03:00,1.29
Oyarvide,2025-04-16 17:45:00-03:00,1.28
Oyarvide,2025-04-16 18:45:00-03:00,1.26
Oyarvide,2025-04-16 19:45:00-03:00,1.16
Oyarvide,2025-04-16 20:45:00-03:00,0.97
Oyarvide,2025-04-16 21:45:00-03:00,0.83
Oyarvide,2025-04-16 22:45:00-03:00,0.69
Oyarvide,2025-04-16 23:45:00-03:00,0.64
Oyarvide,2025-04-17 00:45:00-03:00,0.66
Oyarvide,2025-04-17 01:45:00-03:00,0.77
Oyarvide,2025-04-17 02:45:00-03:00,0.98
Oyarvide,2025-04-17 03:45:00-03:00,1.14
Oyarvide,2025-04-17 04:45:00-03:00,1.05
Oyarvide,2025-04-17 05:45:00-03:00,0.91
Oyarvide,2025-04-17 06:45:00-03:00,0.98
Oyarvide,2025-04-17 07:45:00-03:00,0.84
Oyarvide,2025-04-17 08:45:00-03:00,0.71
Oyarvide,2025-04-17 09:45:00-03:00,0.55
Oyarvide,2025-04-17 10:45:00-03:00,0.4
Oyarvide,2025-04-17 11:45:00-03:00,0.34
Oyarvide,2025-04-17 12:45:00-03:00,0.26
Oyarvide,2025-04-17 13:45:00-03:00,0.28
Oyarvide,2025-04-17 14:45:00-03:00,0.51
Oyarvide,2025-04-17 15:45:00-03:00,0.69
Oyarvide,2025-04-17 16:45:00-03:00,0.78
Oyarvide,2025-04-17 17:45:00-03:00,0.81
Oyarvide,2025-04-17 18:45:00-03:00,0.88
Oyarvide,2025-04-17 19:45:00-03:00,0.93
Oyarvide,2025-04-17 20:45:00-03:00,0.87
Oyarvide,2025-04-17 21:45:00-03:00,0.65
Oyarvide,2025-04-17 22:45:00-03:00,0.53
Oyarvide,2025-04-17 23:45:00-03:00,0.6
Oyarvide,2025-04-18 00:45:00-03:00,0.61
Oyarvide,2025-04-18 01:45:00-03:00,0.53
Oyarvide,2025-04-18 02:45:00-03:00,0.57
Oyarvide,2025-04-18 03:45:00-03:00,0.75
Oyarvide,2025-04-18 04:45:00-03:00,0.98
Oyarvide,2025-04-18 05:45:00-03:00,1
Oyarvide,2025-04-18 06:45:00-03:00,0.91
Oyarvide,2025-04-18 07:45:00-03:00,0.88
Oyarvide,2025-04-18 08:45:00-03:00,0.8
Oyarvide,2025-04-18 09:45:00-03:00,0.68
Oyarvide,2025-04-18 10:45:00-03:00,0.53
Oyarvide,2025-04-18 11:45:00-03:00,0.58
Oyarvide,2025-04-18 12:45:00-03:00,0.5
Oyarvide,2025-04-18 13:45:00-03:00,0.57
Oyarvide,2025-04-18 14:45:00-03:00,0.8
Oyarvide,2025-04-18 15:45:00-03:00,1.03
Oyarvide,2025-04-18 16:45:00-03:00,1.23
Oyarvide,2025-04-18 17:45:00-03:00,1.21
Oyarvide,2025-04-18 18:45:00-03:00,1.19
Oyarvide,2025-04-18 19:45:00-03:00,1.23
Oyarvide,2025-04-18 20:45:00-03:00,1.26
Oyarvide,2025-04-18 21:45:00-03:00,1.12
Oyarvide,2025-04-18 22:45:00-03:00,0.98
Oyarvide,2025-04-18 23:45:00-03:00,1.12
Oyarvide,2025-04-19 00:45:00-03:00,1.29
Oyarvide,2025-04-19 01:45:00-03:00,1.5
Oyarvide,2025-04-19 02:45:00-03:00,1.64
Oyarvide,2025-04-19 03:45:00-03:00,1.81
Oyarvide,2025-04-19 04:45:00-03:00,2.06
Oyarvide,2025-04-19 05:45:00-03:00,2.09
Oyarvide,2025-04-19 06:45:00-03:00,1.98
Oyarvide,2025-04-19 07:45:00-03:00,2
Oyarvide,2025-04-19 08:45:00-03:00,1.99
Oyarvide,2025-04-19 09:45:00-03:00,1.85
Oyarvide,2025-04-19 10:45:00-03:00,1.73
Oyarvide,2025-04-19 11:45:00-03:00,1.63
Oyarvide,2025-04-19 12:45:00-03:00,1.53
Oyarvide,2025-04-19 13:45:00-03:00,1.48
Oyarvide,2025-04-19 14:45:00-03:00,1.5
Oyarvide,2025-04-19 15:45:00-03:00,1.56
Oyarvide,2025-04-19 16:45:00-03:00,1.6
Oyarvide,2025-04-19 17:45:00-03:00,1.58
Oyarvide,2025-04-19 18:45:00-03:00,1.5
Oyarvide,2025-04-19 19:45:00-03:00,1.3
Oyarvide,2025-04-19 20:45:00-03:00,1.2
Oyarvide,2025-04-19 21:45:00-03:00,1.08
Oyarvide,2025-04-19 22:45:00-03:00,1
Oyarvide,2025-04-19 23:45:00-03:00,0.94
Oyarvide,2025-04-20 00:45:00-03:00,1.07
Oyarvide,2025-04-20 01:45:00-03:00,1.23
Oyarvide,2025-04-20 02:45:00-03:00,1.52
Oyarvide,2025-04-20 03:45:00-03:00,1.82
Oyarvide,2025-04-20 04:45:00-03:00,1.98
Oyarvide,2025-04-20 05:45:00-03:00,2
Oyarvide,2025-04-20 06:45:00-03:00,1.97
Oyarvide,2025-04-20 07:45:00-03:00,1.78
Oyarvide,2025-04-20 08:45:00-03:00,1.63
Oyarvide,2025-04-20 09:45:00-03:00,1.4
Oyarvide,2025-04-20 10:45:00-03:00,1.26
Oyarvide,2025-04-20 11:45:00-03:00,1.1
Oyarvide,2025-04-20 12:45:00-03:00,1.12
Oyarvide,2025-04-20 13:45:00-03:00,0.88
Oyarvide,2025-04-20 14:45:00-03:00,0.84
Oyarvide,2025-04-20 15:45:00-03:00,0.93
Oyarvide,2025-04-20 16:45:00-03:00,0.98
Oyarvide,2025-04-20 17:45:00-03:00,1.06
Oyarvide,2025-04-20 18:45:00-03:00,1.1
Oyarvide,2025-04-20 19:45:00-03:00,1.07
Oyarvide,2025-04-20 20:45:00-03:00,1
Oyarvide,2025-04-20 21:45:00-03:00,0.93
Oyarvide,2025-04-20 22:45:00-03:00,0.83
Oyarvide,2025-04-20 23:45:00-03:00,0.73
Oyarvide,2025-04-21 00:45:00-03:00,0.64
Oyarvide,2025-04-21 01:45:00-03:00,0.58
Oyarvide,2025-04-21 02:45:00-03:00,0.61
Oyarvide,2025-04-21 03:45:00-03:00,0.81
Oyarvide,2025-04-21 04:45:00-03:00,1.03
Oyarvide,2025-04-21 05:45:00-03:00,1.16
Oyarvide,2025-04-21 06:45:00-03:00,1.19
Oyarvide,2025-04-21 07:45:00-03:00,1.18
Oyarvide,2025-04-21 08:45:00-03:00,1.12
Oyarvide,2025-04-21 09:45:00-03:00,0.99
Oyarvide,2025-04-21 10:45:00-03:00,0.81
Oyarvide,2025-04-21 11:45:00-03:00,0.59
Oyarvide,2025-04-21 12:45:00-03:00,0.46
Oyarvide,2025-04-21 13:45:00-03:00,0.34
Oyarvide,2025-04-21 14:45:00-03:00,0.24
Oyarvide,2025-04-21 15:45:00-03:00,0.22
Oyarvide,2025-04-21 16:45:00-03:00,0.28
Oyarvide,2025-04-21 17:45:00-03:00,0.4
Oyarvide,2025-04-21 18:45:00-03:00,0.54
Oyarvide,2025-04-21 19:45:00-03:00,0.51
Oyarvide,2025-04-21 20:45:00-03:00,0.51
Oyarvide,2025-04-21 21:45:00-03:00,0.45
Oyarvide,2025-04-21 22:45:00-03:00,0.36
Oyarvide,2025-04-21 23:45:00-03:00,0.29
Oyarvide,2025-04-22 00:45:00-03:00,0.24
Oyarvide,2025-04-22 01:45:00-03:00,0.1
Oyarvide,2025-04-22 02:45:00-03:00,0.17
Oyarvide,2025-04-22 03:45:00-03:00,0.28
Oyarvide,2025-04-22 04:45:00-03:00,0.54
Oyarvide,2025-04-22 05:45:00-03:00,0.67
Oyarvide,2025-04-22 06:45:00-03:00,0.94
Oyarvide,2025-04-22 07:45:00-03:00,1.08
Oyarvide,2025-04-22 08:45:00-03:00,1.2
Oyarvide,2025-04-22 09:45:00-03:00,1.16
Oyarvide,2025-04-22 10:45:00-03:00,1.11
Oyarvide,2025-04-22 11:45:00-03:00,0.96
Oyarvide,2025-04-22 12:45:00-03:00,0.9
Oyarvide,2025-04-22 13:45:00-03:00,0.96
Oyarvide,2025-04-22 14:45:00-03:00,0.85
Oyarvide,2025-04-22 15:45:00-03:00,1
Oyarvide,2025-04-22 16:45:00-03:00,1.11
Oyarvide,2025-04-22 17:45:00-03:00,1.33
Oyarvide,2025-04-22 18:45:00-03:00,1.43
Oyarvide,2025-04-22 19:45:00-03:00,1.5
Oyarvide,2025-04-22 20:45:00-03:00,1.51
Oyarvide,2025-04-22 21:45:00-03:00,1.47
Oyarvide,2025-04-22 22:45:00-03:00,1.49
Oyarvide,2025-04-22 23:45:00-03:00,1.36
Oyarvide,2025-04-23 00:45:00-03:00,1.24
Oyarvide,2025-04-23 01:45:00-03:00,1.07
Oyarvide,2025-04-23 02:45:00-03:00,0.96
Oyarvide,2025-04-23 03:45:00-03:00,0.86
Oyarvide,2025-04-23 04:45:00-03:00,0.83
Oyarvide,2025-04-23 05:45:00-03:00,0.93
Oyarvide,2025-04-23 06:45:00-03:00,1.11
Oyarvide,2025-04-23 07:45:00-03:00,1.2
Oyarvide,2025-04-23 08:45:00-03:00,1.13
Oyarvide,2025-04-23 09:45:00-03:00,1.09
Oyarvide,2025-04-23 10:45:00-03:00,0.95
Oyarvide,2025-04-23 11:45:00-03:00,0.77
Oyarvide,2025-04-23 12:45:00-03:00,0.72
Oyarvide,2025-04-23 13:45:00-03:00,0.54
Oyarvide,2025-04-23 14:45:00-03:00,0.39
Oyarvide,2025-04-23 15:45:00-03:00,0.33
Oyarvide,2025-04-23 16:45:00-03:00,0.2
Oyarvide,2025-04-23 17:45:00-03:00,0.17
Oyarvide,2025-04-23 18:45:00-03:00,0.38
Oyarvide,2025-04-23 19:45:00-03:00,0.55
Oyarvide,2025-04-23 20:45:00-03:00,0.7
Oyarvide,2025-04-23 21:45:00-03:00,0.76
Oyarvide,2025-04-23 22:45:00-03:00,0.79
Oyarvide,2025-04-23 23:45:00-03:00,0.74
Oyarvide,2025-04-24 00:45:00-03:00,0.78
Oyarvide,2025-04-24 01:45:00-03:00,0.74
Oyarvide,2025-04-24 02:45:00-03:00,0.73
Oyarvide,2025-04-24 03:45:00-03:00,0.75
Oyarvide,2025-04-24 04:45:00-03:00,0.81
Oyarvide,2025-04-24 05:45:00-03:00,1.05
Oyarvide,2025-04-24 06:45:00-03:00,1.28
Oyarvide,2025-04-24 07:45:00-03:00,1.51
Oyarvide,2025-04-24 08:45:00-03:00,1.88
Oyarvide,2025-04-24 09:45:00-03:00,1.92
Oyarvide,2025-04-24 10:45:00-03:00,1.83
